RXCUI
1000000
1000001
1000005
1000009
1000048
1000054
1000058
1000064
1000070
1000076
1000085
1000089
1000091
1000093
1000095
1000097
1000107
1000114
1000124
1000126
1000128
1000131
1000133
1000135
1000139
1000141
1000145
1000153
1000154
1000156
1000158
1000351
1000352
1000355
1000356
1000395
1000398
1000405
1000407
1000479
1000486
1000487
1000490
1000491
1000495
1000496
1000497
1000499
1000500
1000502
1000556
1000558
1000636
1000647
1000656
1000660
1000673
1000678
1000713
1000720
1000731
1000736
1000859
1000861
1000862
1000870
1000876
1000895
1000897
1000903
1000907
1000913
1000915
1000946
1000976
1000981
1000990
1000992
1000994
1000996
1001002
1001004
1001006
1001054
1001058
1001066
1001084
1001405
1001409
1001433
1001437
1001476
1001591
1001593
1001679
1001689
1001690
1001691
1001714
1001718
1001751
1002300
1005706
1005767
1005819
1005830
1005831
1005834
1005835
1005853
1005856
1005924
1005928
1006057
1006065
1006079
1006096
1006105
1006107
1006110
1006114
1006116
1006120
1006122
1006353
1006355
1006359
1006361
1006363
1006365
1006367
1006439
1006482
1006490
1006558
1006608
1006610
1006632
1006683
1006684
1006688
1006693
1006729
1006801
1006803
1009145
1009147
1009216
1009339
1009341
1009433
1009456
1009459
1009462
1009463
1010033
1010035
1010077
1010234
1010238
1010600
1010603
1010604
1010606
1010654
1010671
1010673
1010688
1010692
1010696
1010732
1010739
1010745
1010749
1010751
1010755
1010759
1010763
1010768
1010769
1010774
1010823
1010835
1010836
1010844
1010846
1010878
1010895
1010900
1010902
1010931
1011080
1011081
1011087
1011093
1011482
1011485
1011625
1011626
1011646
1011648
1011653
1011657
1011703
1011705
1011707
1011709
1011710
1011712
1011713
1011715
1011736
1011738
1011739
1011741
1011750
1011752
1011753
1011755
1011767
1011809
1011814
1011839
1011843
1011845
1011849
1011851
1011852
1011854
1011870
1011872
1011875
1011983
1011985
1011987
1012015
1012017
1012021
1012066
1012068
1012081
1012099
1012100
1012204
1012218
1012221
1012223
1012229
1012233
1012235
1012327
1012345
1012377
1012381
1012384
1012388
1012391
1012396
1012400
1012404
1012406
1012413
1012417
1012421
1012455
1012457
1012461
1012465
1012594
1012706
1012709
1012722
1012724
1012726
1012731
1012733
1012735
1012737
1012739
1012741
1012745
1012756
1012762
1012769
1012785
1012895
1012899
1012904
1012955
1012966
1012994
1013114
1013619
1013626
1013628
1013629
1013630
1013636
1013647
1013659
1013662
1013665
1013731
1013867
1013878
1013880
1013889
1013891
1013930
1013934
1013937
1013939
1013955
1013964
1013991
1014005
1014018
1014022
1014024
1014123
1014130
1014132
1014137
1014194
1014235
1014242
1014266
1014303
1014305
1014313
1014314
1014328
1014331
1014337
1014343
1014427
1014431
1014446
1014571
1014573
1014580
1014583
1014599
1014615
1014632
1014638
